jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
51job:171582293,A09.技术支持工程师（北京）,pos_13,llm,,,
51job:173069855,AI应用工程师 实习生,pos_02,llm,,,
boss:a9e5d6d0ebaeae840nF-3Nm9FFNZ,数智化AI应用实施工程师（硕士学历）,pos_41,llm,,,
51job:172292586,高级AI算法工程师(J10683),pos_01,llm,,,
51job:172998795,AI算法工程师,pos_27,llm,,,
boss:c5277015f173de24,ai工程师,pos_05,llm,,,
51job:171425075,AI应用官,pos_01,llm,,,
51job:171476038,AI应用开发工程师（应届）,pos_02,llm,,,
boss:874c64e2a4130c910nJy3NW7E1BW,AI 直播应用工程师,pos_05,llm,,,
51job:173313024,AI安全研发工程师(J10402),pos_18,llm,,,
51job:173245564,物理算法工程师（机器人方向） - 深圳(J19744),pos_37,llm,,,
51job:167884657,网络安全助理工程师 接受应届 不加班,pos_36,llm,,,
51job:173350656,全栈工程师（后端方向）,pos_11,llm,,,
51job:173358665,AI应用开发工程师,pos_01,llm,,,
51job:173184858,应用开发实习生,pos_01,llm,,,
boss:e1c3f8dc128840a4,ai工程师（校园招聘）,pos_19,llm,,,
51job:172189393,人工智能工程师,pos_01,llm,,,
boss:a3cde265e49c4a040nd-29y-GFpU,AI应用工程师,pos_02,llm,,,
51job:173151648,AI Practice Consultants/ AI应用顾问,pos_02,llm,,,
boss:cae5270577f09b0f,网安-AI工程师,pos_18,llm,,,
51job:172582809,AI 应用工程师（知识库方向）,pos_03,llm,,,
51job:173268483,信息科技部信息技术岗位,pos_14,llm,,,
boss:edbd70b50733b1030nJ43N24GVtU,ai应用工程师,pos_02,llm,,,
51job:167831529,软件开发岗（AI模型方向）,pos_01,llm,,,
51job:170223691,算法工程师（人工智能）,pos_01,llm,,,
boss:cc77b225cddee1a50nJ60tu-E1dS,AI应用工程师,pos_02,llm,,,
51job:172972397,IT开发/运维工程师(J10060),pos_14,llm,,,
51job:171935723,软件研发工程师（孝感/武汉）,pos_29,llm,,,
51job:172428511,ai工程师,pos_01,llm,,,
boss:7c7e3561642e6c9e,AI工程师,pos_01,llm,,,
51job:169077861,AI算法实习生 (谱图识别方向),pos_27,llm,,,
boss:1dcd2a0cbcfe839003150tS7FFpY,RAG（检索增强生成）工程师,pos_01,llm,,,
51job:172304482,高级AI算法工程师(J10682),pos_01,llm,,,
boss:f7cee7df2ad0287a,【华为27届实习生招聘】AI工程师,pos_01,llm,,,
boss:588bad5e1a1e408e0nJ829u-GFBT,机器人服务工程师实习生(A18805),pos_22,llm,,,
51job:173348665,人工智能（Python编程老师）,pos_34,llm,,,
boss:ddb609034bd406cf03x62Nq9E1FS,AI agent工程师,pos_02,llm,,,
51job:170223859,智能嗅觉工程师,pos_38,llm,,,
51job:170838151,图像算法工程师,pos_27,llm,,,
boss:0ce70ff82f3b1116,AI Native工程师（即梦）-剪映CapCut,pos_02,llm,,,
51job:167910712,信息安全,pos_36,llm,,,
51job:173151442,公司项目数据统计员,pos_12,llm,,,
51job:173317027,信息化管理（AI）,pos_06,llm,,,
51job:173081391,AI产品助理,pos_06,llm,,,
51job:172975584,Graduate Structural Engineer/ 应届结构工程师,,unmatched,,,
51job:171278954,青苗计划（本硕）,,unmatched,,,
51job:172815641,生产技术员,,unmatched,,,
51job:172367873,产品测试工程师,,unmatched,,,
51job:172055674,JAVA软件开发工程师(RD19),,unmatched,,,
51job:173370683,算法工程师,,unmatched,,,
51job:168131743,AI技术管培生,,unmatched,,,
51job:172924281,信息岗,,unmatched,,,
51job:167912179,技术支持,,unmatched,,,
51job:172454195,德语专利代理师（助理）-国际(J10037),,unmatched,,,
