jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
bd:7273737124662577465,AML机器学习平台研发工程师,pos_01,alias,,,
51job:171958675,豆包AI大模型产品实习生-Data AML,pos_01,alias,,,
boss:c3d72a6f3db7f4cc0nJy0tW-E1ZQ,AI应用工程师,pos_02,alias,,,
51job:172167131,Python智能体开发工程师,pos_02,alias,,,
tx:1915233782491881472,混元大模型评测算法研究员（北京）,pos_01,alias,,,
xhs:14403,Dots-大模型预训练算法工程师,pos_01,alias,,,
bd:7471213887980472583,NLP算法实习生-财经业务,pos_04,alias,,,
bd:7481282471255755015,视觉多模态算法研究实习生（多模态应用方向）-豆包大模型,pos_01,alias,,,
bd:7533136189096806663,推荐算法工程师-抖音电商,pos_01,alias,,,
xhs:9701,内容安全算法工程师-大模型方向,pos_01,alias,,,
bd:7203559838517053754,多模态大模型算法实习生-Data AML,pos_01,alias,,,
bd:7633827808167446837,Agent自进化算法工程师-AI Platform,pos_02,alias,,,
bd:7337214698478078234,SLAM算法工程师-PICO,pos_01,alias,,,
bd:7602902468840212741,大数据开发工程师（数据BP） - 数据平台,pos_11,alias,,,
vivo:M2085678916690313217,AIOS产品经理,pos_06,alias,,,
51job:173253749,初级算法工程师,pos_01,alias,,,
bd:7539827099529873682,多模态算法工程师-搜索,pos_01,alias,,,
vivo:M1976544629653176321,视频算法工程师/专家,pos_01,alias,,,
gh-databricks:7647353002,Senior Software Engineer- Networking,pos_13,llm,,,
gh-scaleai:4687050005,Engagement Manager,pos_06,llm,,,
gh-jobs:4385543007,Analytics Data Engineer (Accelerated AI),pos_11,llm,,,
gh-stripe:7589234,"Technical Program Manager, Core Infrastructure",pos_13,llm,,,
tx:2006552125383004160,元宝高级数据仓库开发工程师,pos_11,llm,,,
anth:5301750008,"Staff+ Software Engineer, Databases",pos_11,llm,,,
gh-jobs:4728831004,"Product Marketing Manager, Figma Editor",pos_06,llm,,,
gh-jobs:4831088007,Account Executive Europe (Net New Logo),pos_06,llm,,,
51job:170619572,机器视觉工程师,pos_27,llm-repair,,,
gh-databricks:8012818002,Staff Software Engineer - Database Engine Internals,pos_11,llm,,,
mt:4514645343,机器人运控工程师,pos_28,llm,,,
gh-jobs:4188005007,Site Reliability Engineer,pos_13,llm,,,
bd:7348351379303074074,数据分析实习生-懂车帝,pos_35,llm,,,
gh-jobs:4713346004,Data Engineer ,pos_11,llm,,,
tx:1631373850170105856,Senior Software Engineer - Backend,pos_11,llm,,,
bd:7627053750589360437,平台产品专家（人审平台）-TikTok安全产品,pos_06,llm,,,
gh-jobs:4363623005,"Infrastructure Software Engineer, Public Sector",pos_13,llm,,,
anth:5368166008,"Staff Software Engineer, GTM Systems",pos_02,llm,,,
xhs:18865,AI 全栈工程师-C2C交易,pos_02,llm,,,
bd:7127616669237774600,后端开发实习生-国际化短视频（内容发现）,pos_11,llm,,,
tx:1601968563759882240,22989-专有云平台产品研发工程师(深圳),pos_13,llm,,,
gh-jobs:4881313004,Data Scientist - Strategic Finance ,pos_35,llm,,,
tx:2092149612814184448,混元视频感知与理解算法研究员（北京/上海）(深圳),pos_01,llm-repair,,,
gh-pinterest:7494650,"Staff Technical Program Manager, Security",pos_18,llm,,,
bd:7472288403137513746,算法实习生-IT,pos_01,llm,,,
bd:7342838129147103514,后端开发实习生-数据库,pos_11,llm,,,
vivo:M2084173325888331778,算法专家（游戏图形）,pos_01,llm-repair,,,
boss:ddb609034bd406cf03x62Nq9E1FS,AI agent工程师,pos_02,llm,,,
bd:7444909112637638920,硬件工程师（基带）-PICO,pos_16,llm,,,
xhs:11728,社区决策洞察分析师（生态方向）,pos_35,llm,,,
gh-jobs:5623087004,Data Engineer Intern (2026),pos_11,llm,,,
bd:7471109623819290887,算法实习生-国际商业化产品与技术,pos_01,llm-repair,,,
bd:7388142013910812978,算法实习生-质量技术,pos_01,llm,,,
bd:7398125880927389961,Research Engineer Intern (Responsible AI) - 2025 Summer/Fall (MS),pos_01,llm,,,
gh-databricks:8295792002,"Staff Software Engineer, Search Quality",pos_01,llm,,,
bd:7459661437653829896,后端开发实习生-广告平台与基础架构,pos_13,llm,,,
ali:7000042429,基础设施与稳定性工程-Linux内核研发工程师-杭州,pos_13,llm,,,
gh-pinterest:8015504,"Sr. Manager, Machine Learning Engineering-Applied Research",pos_01,llm,,,
gh-databricks:8461239002,"Sr. Forward Deployed Engineer (FDE) - Communications, Media, Entertainment & Games",pos_11,llm,,,
bd:7499641201977723143,"Senior Software Engineer / Researcher, AI-Native database systems",pos_11,llm,,,
gh-jobs:4188046007,"Systems Research Engineer, Machine Learning Systems",pos_05,llm,,,
51job:173151442,公司项目数据统计员,pos_12,llm,,,
gh-databricks:8200462002,"Sr. Product Manager, Compute Platform",pos_06,llm,,,
bd:7475552845837256978,经营分析-抖音电商,pos_35,llm,,,
gh-databricks:8755460002,Solutions Architect - Strat Media ,pos_13,llm,,,
anth:5197529008,"Data Scientist, Developer Productivity",pos_35,llm,,,
ali:100032600003,集团安全部-网络安全AI-native知识专家-北京/杭州,pos_36,llm-repair,,,
bd:7397376188497709339,行业风控策略运营-生活服务,pos_35,llm,,,
vivo:M2067089130987040770,AI 模型部署专家（NPU方向）,pos_05,llm,,,
bd:7457169397167769863,算法实习生-国际商业化产品与技术,pos_01,llm-repair,,,
tx:2067161114621423616,腾讯游戏-供应链与合研安全经理-供应链安全,,unmatched,,,
gh-jobs:4623533005,"Strategic Finance Manager, Gen AI",,unmatched,,,
xhs:20969,AI 全栈工程师-支付结算,,unmatched,,,
bd:6952741839221065997,前端开发实习生-基础平台,,unmatched,,,
gh-databricks:8438124002,Strategic Enterprise AE (Hunter) Telco,,unmatched,,,
tx:1524263774259781632,25667-运营商渠道拓展经理（北京）,,unmatched,,,
anth:5199633008,Revenue Strategy & Operations,,unmatched,,,
tx:1983095058873864192,腾讯游戏生态管理合作平台-生态合作运营,,unmatched,,,
bd:7506998463540857095,Frontend Software Engineer Intern (Product RD and Infrastructure-Global E-Commerce Content) - 2025 Start Fall (BS/MS),,unmatched,,,
gh-databricks:8716756002,"Sr. Manager, Developer Relations - Databricks",,unmatched,,,
