jd_id,职位名,系统岗位,系统置信度,系统等级,等级依据,映射正确?(对/错),修正岗位,等级正确?(对/错),修正等级,备注
boss:893f544097c163040nJ_09W-FVpY,机器学习工程师实习生-国际化电商广告,NLP/多模态研究员,0.7,L1,职位名:实习,,,,,
boss:7a5cba285c7401160nB62t28GVBV,AI Agent 工程师,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:a283a3616a943d500nB83dy8E1NZ,Machine Learning Engineer 机器学习工程师,NLP/多模态研究员,0.7,L3,经验要求:3-5年,,,,,
boss:ab6712514cce41b00nJ60tm5GVFX,AI Agent 工程师,AI Agent开发工程师,0.7,L2,经验要求:1-3年,,,,,
boss:b0261a2a753105590nRy39q0EVJQ,python仿真matlab大模型算法线上技术工程师,大模型算法工程师,0.7,L1,经验要求:经验不限,,,,,
boss:b8b978100e481de403B_39i5EFFW,算法工程师实习生（机器学习方向）,NLP/多模态研究员,0.7,L1,职位名:实习,,,,,
boss:c5b94a42a90344510nBy2Ny5GVBU,AI工程师机器学习工程师 算法工程师（赴日,NLP/多模态研究员,0.7,L1,经验要求:经验不限,,,,,
boss:c6db953f4456e4bc1n182d20GFpY,机器学习工程师,NLP/多模态研究员,0.7,L1,经验要求:经验不限,,,,,
boss:c63a94fa882079780nB_2t60FlJV,AI Agent 工程师,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:cc69c00711bca8810nZ52dm9GFVT,算法工程师（机器学习）,NLP/多模态研究员,0.7,L1,经验要求:经验不限,,,,,
boss:d4e0b0b425d5ed6d0nB-09q-FlBR,ai应用工程师｜LLM/RAG/MCP｜智慧工厂,大模型算法工程师,0.7,L2,经验要求:1-3年,,,,,
boss:dd381b3c286b53bb0nJ90tS_GVJQ,A186342多模态大模型算法工程师-…,大模型算法工程师,1.0,L1,经验要求:在校/应届,,,,,
boss:df87bdf4925872a20nF539-4ElJU,多模态大模型评测工程师【音视频方向】,大模型算法工程师,0.7,L2,经验要求:1-3年,,,,,
boss:dff114f6dd6084050nJ93NW0FFJY,多模态 / Omni 大模型工程师,大模型算法工程师,0.7,L1,经验要求:经验不限,,,,,
boss:e4b2cabfa3534c3c0nJ-3N6_FFtU,AI应用全栈工程师（Python｜RAG 、Agent）,AI Agent开发工程师,0.7,L3,经验要求:3-5年,,,,,
boss:ed4940c732a2a47b0nJ52NS8FVZZ,AI Agent工程师,AI Agent开发工程师,0.7,L2,经验要求:1-3年,,,,,
boss:ef93da42a52615360nJ_3t20FVNX,算法工程师（机器学习）,NLP/多模态研究员,0.7,L3,经验要求:3-5年,,,,,
boss:f123138f94359c820nJ40ty1ElRV,Java（AI/RAG/Agent方向）,AI Agent开发工程师,0.7,L3,经验要求:5-10年,,,,,
boss:f97e65366a4aaa220nJy09-9FlJU,大模型应用与RAG优化工程师,大模型算法工程师,0.7,L2,经验要求:1-3年,,,,,
boss:f31610ec19a1f31b0nJ62N2_ElNY,【机器学习工程师】【实习岗】远程办公,NLP/多模态研究员,0.7,L1,职位名:实习,,,,,
51job:172837220,Agent应用开发（实习生）,AI Agent开发工程师,0.7,L1,职位名:实习,,,,,
boss:50d27f8ab2ef0b120nRz0t-8ElpX,AI/机器学习工程师,NLP/多模态研究员,0.7,L2,经验要求:1-3年,,,,,
boss:1ca2d312e6477a920nF_3tS6EFVT,Agent/RAG工程师,AI Agent开发工程师,0.7,L2,经验要求:1-3年,,,,,
boss:5b7c29aa11f48ea00nB939W9FVFX,大模型工程师,大模型算法工程师,0.7,L3,经验要求:3-5年,,,,,
boss:dbdd9948a8565c9b0nB_3tq7E1NS,大模型工程师,大模型算法工程师,0.7,L1,经验要求:经验不限,,,,,
51job:144684768,某行招AI智能训练师,AI训练师/数据标注主管,0.9,UNKNOWN,无信号,,,,,
51job:141452342,算法工程师（视觉感知）,计算机视觉工程师,0.95,UNKNOWN,无信号,,,,,
51job:141069194,视觉感知算法开发（实习生）,自动驾驶感知工程师,0.95,L1,职位名:实习,,,,,
51job:119981160,助理建筑资讯模型工程师 (BIM),数字孪生工程师,0.85,L1,职位名:助理,,,,,
51job:151878727,图像算法实习生,计算机视觉工程师,0.95,L1,职位名:实习,,,,,
51job:160277406,AI技术支持,AI产品经理,0.82,UNKNOWN,无信号,,,,,
51job:160655814,软件测试助理工程师(RD41),数据中心运维工程师,0.85,L1,职位名:助理,,,,,
51job:165020234,AI算法工程师,计算机视觉工程师,0.85,UNKNOWN,无信号,,,,,
51job:165878904,自动驾驶安全员-深圳地勤,自动驾驶安全员/测试员,1.0,UNKNOWN,无信号,,,,,
51job:167831529,软件开发岗（AI模型方向）,大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:167884657,网络安全助理工程师 接受应届 不加班,数据安全工程师,0.9,L1,职位名:助理,,,,,
51job:168123980,AI应用工程师-26校招(J78228),计算机视觉工程师,0.85,L1,经验要求:在校生/应届生,,,,,
51job:167909131,技术研发,,0,L1,经验要求:在校生/应届生,,,,,
51job:168131743,AI技术管培生,,0,UNKNOWN,无信号,,,,,
51job:167910712,信息安全,数据安全工程师,0.95,L1,经验要求:在校生/应届生,,,,,
51job:167912179,技术支持,,0,L1,经验要求:在校生/应届生,,,,,
51job:168730784,AI算法工程师,大模型算法工程师,0.95,UNKNOWN,无信号,,,,,
51job:168850291,AI模型开发工程师,AI模型部署工程师(MLOps),0.95,UNKNOWN,无信号,,,,,
51job:169077861,AI算法实习生 (谱图识别方向),计算机视觉工程师,0.85,L1,职位名:实习,,,,,
51job:169226171,管培生（智能与数字化方向）,数据分析师(AI增强),0.62,L1,经验要求:在校生/应届生,,,,,
51job:169013852,脑科学与人工智能应用工程师招聘,NLP/多模态研究员,0.85,UNKNOWN,无信号,,,,,
51job:169271311,校招-AI应用工程师（孝感/武汉）,大模型算法工程师,0.8,L1,经验要求:在校生/应届生,,,,,
51job:168222397,AI应用研究员,NLP/多模态研究员,0.85,UNKNOWN,无信号,,,,,
51job:170012552,南京-智慧交通/算法类,智慧城市/智能交通工程师,0.95,L1,经验要求:在校生/应届生,,,,,
51job:169817361,AI工程师,大模型算法工程师,0.75,L1,经验要求:在校生/应届生,,,,,
51job:170223691,算法工程师（人工智能）,大模型算法工程师,0.8,UNKNOWN,无信号,,,,,
51job:170283636,工业AI算法工程师(创新技术部),大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:170223859,智能嗅觉工程师,智能传感器工程师,0.85,UNKNOWN,无信号,,,,,
51job:170414794,算法业务推动岗,量化金融/AI交易工程师,0.85,UNKNOWN,无信号,,,,,
51job:170686318,数据分析-26校招(J78210),数据分析师(AI增强),0.9,L1,经验要求:在校生/应届生,,,,,
51job:170609892,技术产品实习生（AI基础与应用方向）-中国交易与广告,AI产品经理,0.88,L1,职位名:实习,,,,,
51job:170801473,检测工程师（新能源部）,云计算/AI基础设施工程师,0.85,UNKNOWN,无信号,,,,,
51job:170619572,机器视觉工程师,智能制造工程师,0.75,UNKNOWN,无信号,,,,,
51job:170985731,AI算法工程师,大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:171039997,AI应用工程师,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
51job:170838151,图像算法工程师,计算机视觉工程师,0.95,UNKNOWN,无信号,,,,,
51job:171099934,泛化道路测试岗,自动驾驶安全员/测试员,1.0,UNKNOWN,无信号,,,,,
51job:171425075,AI应用官,大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:171332906,智能传感器研发工程师,智能传感器工程师,0.95,UNKNOWN,无信号,,,,,
51job:171352340,ai研发工程师,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
51job:171474057,高级AI工程师 双休,大模型算法工程师,0.85,L3,职位名:高级,,,,,
51job:171582293,A09.技术支持工程师（北京）,云计算/AI基础设施工程师,0.85,UNKNOWN,无信号,,,,,
51job:171476038,AI应用开发工程师（应届）,AI Agent开发工程师,0.92,UNKNOWN,无信号,,,,,
51job:171278954,青苗计划（本硕）,,0,UNKNOWN,无信号,,,,,
51job:171527510,ai工程师,AI Agent开发工程师,0.92,UNKNOWN,无信号,,,,,
51job:171873744,信息化管理（AI）,AI产品经理,0.85,L1,经验要求:在校生/应届生,,,,,
51job:171870103,信息化管理（AI）（校招）,AI产品经理,0.85,L1,经验要求:在校生/应届生,,,,,
51job:171935723,软件研发工程师（孝感/武汉）,知识图谱工程师,0.7,L1,经验要求:在校生/应届生,,,,,
51job:172189393,人工智能工程师,大模型算法工程师,0.7,UNKNOWN,无信号,,,,,
51job:172117594,深度模型工程师,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
51job:171969878,智能网联项目经理,,0,UNKNOWN,无信号,,,,,
51job:172304482,高级AI算法工程师(J10682),大模型算法工程师,0.9,L3,职位名:高级,,,,,
51job:172055674,JAVA软件开发工程师(RD19),,0,UNKNOWN,无信号,,,,,
51job:172308748,AI开发工程师(实习生),AI Agent开发工程师,0.85,L1,职位名:实习,,,,,
51job:172292586,高级AI算法工程师(J10683),大模型算法工程师,0.85,L3,职位名:高级,,,,,
51job:172292553,高级AI算法工程师(J10684),大模型算法工程师,0.9,L3,职位名:高级,,,,,
51job:172343443,软件算法工程师（双休）,智能传感器工程师,0.85,UNKNOWN,无信号,,,,,
51job:172327337,产品实习生-J84884,AI产品经理,0.9,L1,职位名:实习,,,,,
51job:172312058,AI技术研发工程师(J13320),大模型算法工程师,0.92,UNKNOWN,无信号,,,,,
51job:172410733,AI算法工程师,大模型算法工程师,0.95,UNKNOWN,无信号,,,,,
51job:172428511,ai工程师,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
51job:172419759,AI算法工程师,大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:172514611,A训练师 接受应届 包三餐,AI训练师/数据标注主管,0.95,UNKNOWN,无信号,,,,,
51job:172514227,AI训练师（接受小白）双休,AI训练师/数据标注主管,0.95,UNKNOWN,无信号,,,,,
51job:172367873,产品测试工程师,,0,UNKNOWN,无信号,,,,,
51job:172551336,AI视频编导岗,AI视频/数字人生成师,0.9,UNKNOWN,无信号,,,,,
51job:172582809,AI 应用工程师（知识库方向）,Prompt工程师,0.85,UNKNOWN,无信号,,,,,
51job:172615464,AI图片视频师,AI视频/数字人生成师,0.95,UNKNOWN,无信号,,,,,
51job:172454195,德语专利代理师（助理）-国际(J10037),,0,L1,职位名:助理,,,,,
51job:172628753,项目交付工程师助理,AI模型部署工程师(MLOps),0.85,L1,职位名:助理,,,,,
51job:172635971,算法工程师（机理模型）,大模型算法工程师,0.72,UNKNOWN,无信号,,,,,
51job:172490214,AI实习生,,0,L1,职位名:实习,,,,,
51job:172676760,计算机 / AI 技术岗,智能制造工程师,0.982,UNKNOWN,无信号,,,,,
51job:172628414,项目资料员,,0,UNKNOWN,无信号,,,,,
51job:172729937,博士后课题研究人员（农业保险） (MJ007421),农业AI/精准农业工程师,0.9,UNKNOWN,无信号,,,,,
51job:172702967,AI应用工程师,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
51job:172764196,谱育科技2027校园招聘(002616),智能传感器工程师,0.85,UNKNOWN,无信号,,,,,
51job:172938981,视觉应用实习生,计算机视觉工程师,0.9,L1,职位名:实习,,,,,
51job:172745905,数产集团AI应用工程师(J14698),AI Agent开发工程师,0.95,UNKNOWN,无信号,,,,,
51job:172973806,AI应用（应届生）,AI Agent开发工程师,0.85,UNKNOWN,无信号,,,,,
51job:172972397,IT开发/运维工程师(J10060),数据中心运维工程师,0.85,UNKNOWN,无信号,,,,,
51job:172815641,生产技术员,,0,UNKNOWN,无信号,,,,,
51job:172998795,AI算法工程师,计算机视觉工程师,0.9,UNKNOWN,无信号,,,,,
51job:172924281,信息岗,,0,L1,经验要求:在校生/应届生,,,,,
51job:172977486,资深全栈工程师（AI 原生 B2B 平台 / 工程 Owner）,AI Agent开发工程师,0.85,L3,职位名:资深,,,,,
51job:173069855,AI应用工程师 实习生,AI Agent开发工程师,0.65,L1,职位名:实习,,,,,
51job:173081391,AI产品助理,AI产品经理,0.95,L1,职位名:助理,,,,,
51job:173072667,AI训练师,AI训练师/数据标注主管,0.95,UNKNOWN,无信号,,,,,
51job:172975584,Graduate Structural Engineer/ 应届结构工程师,,0,L1,经验要求:在校生/应届生,,,,,
51job:173134737,智能化应用类岗位-2027届校招(J78902),AI训练师/数据标注主管,0.85,L1,经验要求:在校生/应届生,,,,,
51job:173125652,数据分析岗-2027届校招(J78909),数据分析师(AI增强),0.9,UNKNOWN,无信号,,,,,
51job:173141531,AI前线部署工程师（FDE),AI Agent开发工程师,0.92,UNKNOWN,无信号,,,,,
51job:173145067,图像处理算法工程师,计算机视觉工程师,0.95,UNKNOWN,无信号,,,,,
51job:173151442,公司项目数据统计员,数据标注/AI数据专员,0.9,UNKNOWN,无信号,,,,,
51job:173144271,算法工程师（光伏方向）,强化学习工程师,0.6,L1,经验要求:在校生/应届生,,,,,
51job:173151648,AI Practice Consultants/ AI应用顾问,AI Agent开发工程师,0.85,UNKNOWN,无信号,,,,,
51job:173184858,应用开发实习生,大模型算法工程师,0.85,L1,职位名:实习,,,,,
51job:173191329,ai工程师,大模型算法工程师,0.95,UNKNOWN,无信号,,,,,
51job:173143106,AI Engineer,大模型算法工程师,0.9,UNKNOWN,无信号,,,,,
51job:173176782,AI开发工程师(J10797),AI Agent开发工程师,0.95,L1,经验要求:在校生/应届生,,,,,
51job:173195977,研发管培生（2027校招）,数据中心运维工程师,0.95,UNKNOWN,无信号,,,,,
51job:173231255,AI应用部署工程师,AI模型部署工程师(MLOps),0.92,UNKNOWN,无信号,,,,,
51job:173197022,粤语AI训练师,AI训练师/数据标注主管,0.9,UNKNOWN,无信号,,,,,
51job:173233763,研发管培生,数据中心运维工程师,0.95,UNKNOWN,无信号,,,,,
51job:173240857,AI应用开发工程师(J10355),AI模型部署工程师(MLOps),0.72,L1,经验要求:在校生/应届生,,,,,
51job:173248119,智驾研究岗,智慧城市/智能交通工程师,0.85,UNKNOWN,无信号,,,,,
51job:173245564,物理算法工程师（机器人方向） - 深圳(J19744),数字孪生工程师,0.68,L1,经验要求:在校生/应届生,,,,,
51job:173260441,项目管理（信息技术岗-AI应用工程师）,AI模型部署工程师(MLOps),0.7,UNKNOWN,无信号,,,,,
51job:173277445,算法工程师,AI医疗影像诊断师,0.85,UNKNOWN,无信号,,,,,
51job:173268483,信息科技部信息技术岗位,数据中心运维工程师,0.86,L1,经验要求:在校生/应届生,,,,,
51job:173317027,信息化管理（AI）,AI产品经理,0.85,UNKNOWN,无信号,,,,,
51job:173312988,AI研究员,大模型算法工程师,0.71,UNKNOWN,无信号,,,,,
51job:173313024,AI安全研发工程师(J10402),AI合规工程师,0.9,L1,经验要求:在校生/应届生,,,,,
51job:173348665,人工智能（Python编程老师）,AI教育产品设计师,0.85,UNKNOWN,无信号,,,,,
51job:173358711,数据治理与分析工程师,数据分析师(AI增强),0.85,UNKNOWN,无信号,,,,,
51job:173350656,全栈工程师（后端方向）,大数据工程师,0.85,L1,经验要求:在校生/应届生,,,,,
51job:173366050,AI产品助理,AI产品经理,0.9,L1,职位名:助理,,,,,
51job:173358665,AI应用开发工程师,大模型算法工程师,0.89,L1,经验要求:在校生/应届生,,,,,
51job:173381724,AI Native 全栈工程师,AI Agent开发工程师,0.85,L1,经验要求:在校生/应届生,,,,,
boss:0002587e316522070nB509q7E1tV,AI应用工程师,AI产品经理,0.8,L2,经验要求:1-3年,,,,,
51job:173376388,规划控制算法实习生,智慧城市/智能交通工程师,0.85,L1,职位名:实习,,,,,
51job:173370683,算法工程师,,0,UNKNOWN,无信号,,,,,
boss:08f44d875c2470c703B53di8FFJQ,算法工程师（接受无经验 双休 15薪 大厂）,大模型算法工程师,0.85,L1,经验要求:1年以内,,,,,
boss:0ce70ff82f3b1116,AI Native工程师（即梦）-剪映CapCut,AI Agent开发工程师,0.9,L1,经验要求:经验不限,,,,,
boss:0defd1b6723d43440nJ-29i-FltS,机器人运动控制算法工程师(强化学习方向),强化学习工程师,0.9,L1,经验要求:经验不限,,,,,
boss:03a786db43e1d9b5,ai工程师,大模型算法工程师,0.9,L3,经验要求:5-10年,,,,,
boss:14e5bd1b24e7c03603d729m8ElVV,Al算法工程师（Al赋能招标代理方向）,NLP/多模态研究员,0.75,L2,经验要求:1-3年,,,,,
boss:157962993895e6dd,AI infra工程师,AI模型部署工程师(MLOps),0.92,L1,经验要求:经验不限,,,,,
boss:27f6ed6899f1cd97,应用 AI 工程师,AI Agent开发工程师,0.95,L1,经验要求:经验不限,,,,,
boss:1dcd2a0cbcfe839003150tS7FFpY,RAG（检索增强生成）工程师,大模型算法工程师,0.95,L1,经验要求:经验不限,,,,,
boss:2f27e5c4f13d41dd0nFz3Nm7FVdT,AI应用工程师,AI产品经理,0.75,L2,经验要求:1-3年,,,,,
boss:3a0aca62559daf28,AI工程师助理,NLP/多模态研究员,0.6,L1,职位名:助理,,,,,
boss:36964af6c95174d30nF-39W-FVNZ,算法工程师,计算机视觉工程师,0.95,L2,经验要求:1-3年,,,,,
boss:2dbaac51df7527e60nF_3du5FVpR,算法工程师,强化学习工程师,0.75,L2,经验要求:1-3年,,,,,
boss:4cb7273c76e7c3a6,应用 AI 工程师(应届 / 实习),AI Agent开发工程师,0.95,L1,职位名:实习,,,,,
boss:47a1d5deee9dd7770nV73tu1F1tU,SLAM 算法工程师,计算机视觉工程师,0.9,L3,经验要求:3-5年,,,,,
boss:534a749a0d6994200nB72964FlNX,ai应用工程师,大模型算法工程师,0.85,L3,经验要求:3-5年,,,,,
boss:588bad5e1a1e408e0nJ829u-GFBT,机器人服务工程师实习生(A18805),机器人运维技术员,0.95,L1,职位名:实习,,,,,
boss:3b00814e37eb82a10nZ70tm7EFdQ,SOC算法工程师,嵌入式AI工程师,0.85,L2,经验要求:1-3年,,,,,
boss:5fc779dc1f4c77d5,应用AI工程师,AI Agent开发工程师,0.95,L1,经验要求:经验不限,,,,,
boss:610c11cdf83063d80nJy3t28F1VY,算法工程师,计算机视觉工程师,0.95,L3,经验要求:5-10年,,,,,
boss:6712af6d7bd5110d,全棧(AI)工程师,AI Agent开发工程师,0.85,L3,经验要求:3-5年,,,,,
boss:5ca31e3018f05eec1X1-2tu4EFpT,算法工程师,大模型算法工程师,0.9,L3,经验要求:3-5年,,,,,
boss:695ebbd6a2b35a7a,AI工程师（出差阿联酋）,大模型算法工程师,0.85,UNKNOWN,无信号,,,,,
boss:7c7e3561642e6c9e,AI工程师,大模型算法工程师,0.85,L3,经验要求:3-5年,,,,,
boss:864efa8170ed65590ndy2di0GFRW,AI应用工程师,Prompt工程师,0.85,L2,经验要求:1-3年,,,,,
boss:874c64e2a4130c910nJy3NW7E1BW,AI 直播应用工程师,AI模型部署工程师(MLOps),0.75,L3,经验要求:3-5年,,,,,
boss:a3cde265e49c4a040nd-29y-GFpU,AI应用工程师,AI Agent开发工程师,0.7,L1,经验要求:经验不限,,,,,
boss:83f6b0746d999837,AI工程师实习生(J10604),大模型算法工程师,0.9,L1,职位名:实习,,,,,
boss:907c88a4e16102620nBy3dm1F1RS,ai应用工程师/RAG工程师,AI Agent开发工程师,0.85,L2,经验要求:1-3年,,,,,
boss:a508123bc5e426bb0nJ82tS8EFFS,rag工程师,AI Agent开发工程师,0.85,L2,经验要求:1-3年,,,,,
boss:a9e5d6d0ebaeae840nF-3Nm9FFNZ,数智化AI应用实施工程师（硕士学历）,智能制造工程师,0.85,L1,经验要求:经验不限,,,,,
boss:8702051d95d4a9c80nR93N60GVJT,算法工程师,,0,L2,经验要求:1-3年,,,,,
boss:aae9cf55fad50e4a0nJy0tq6ElBR,AI应用工程师,AI Agent开发工程师,0.9,L2,经验要求:1-3年,,,,,
boss:ad138098bd6ead190nJ-09m-FltQ,ai应用工程师,AI Agent开发工程师,0.9,L3,经验要求:3-5年,,,,,
boss:8d7a7cd39443b5aa0nJy2Nq6GFZZ,VibeCoding Ai应用工程师,AI Agent开发工程师,0.85,L3,经验要求:3-5年,,,,,
boss:ab1bcbdd5e8186bf03142di1ElNQ,RAG知识库开发工程师,知识图谱工程师,0.9,L3,经验要求:3-5年,,,,,
boss:bb02191dad38ed980nF539y4F1BQ,AI rag（量化大厂，北上深都看）,大模型算法工程师,0.85,L1,经验要求:经验不限,,,,,
boss:b6ff7b8b213470460nJ43Nm-FVFV,AI应用部署工程师,AI模型部署工程师(MLOps),0.9,L2,经验要求:1-3年,,,,,
boss:c3eceb483e5947890nVy09W_FlpZ,算法工程师,计算机视觉工程师,0.95,L2,经验要求:1-3年,,,,,
boss:bf72a50ef74153b00nBy092-FFZS,网络安全算法工程师,数据安全工程师,0.85,L1,经验要求:经验不限,,,,,
boss:c5277015f173de24,ai工程师,AI模型部署工程师(MLOps),0.7,L1,经验要求:经验不限,,,,,
boss:c3d72a6f3db7f4cc0nJy0tW-E1ZQ,AI应用工程师,AI产品经理,0.75,L3,经验要求:3-5年,,,,,
boss:bf011ca4e323da00,ai工程师,AI模型部署工程师(MLOps),0.85,L2,经验要求:1-3年,,,,,
boss:c69bfdf0e32d85130nJy39i1ElRV,2027校招算法工程师(J11384),芯片设计工程师,0.95,L1,经验要求:在校/应届,,,,,
boss:cae5270577f09b0f,网安-AI工程师,AI合规工程师,0.85,L2,经验要求:1-3年,,,,,
