jd_id,职位名,系统岗位id,method,映射正确?(对/错),修正岗位id,备注
tx:2077347119940939776,QQ-Agent产品经理,pos_02,alias,,,
bd:7372477324837619995,NLP算法工程师-抖音AI分身,pos_04,alias,,,
xhs:19254,大模型Agent算法专家,pos_01,alias,,,
bd:7475994362876020999,用户产品经理实习生-抖音社交与创作,pos_06,alias,,,
bd:7470445891867314439,多模态大模型算法实习生-电商业务（平台治理方向）,pos_01,alias,,,
tx:1905178429075066880,多模态算法工程师,pos_01,alias,,,
51job:172312058,AI技术研发工程师(J13320),pos_01,alias,,,
bd:7623417080976967989,视觉大模型推理部署工程师-智能创作（北京/上海/杭州/深圳）,pos_27,alias,,,
51job:172582809,AI 应用工程师（知识库方向）,pos_02,alias,,,
tx:1716341356432990208,数据挖掘算法工程师（游戏AI）,pos_01,alias,,,
51job:171958675,豆包AI大模型产品实习生-Data AML,pos_01,alias,,,
bd:7369463124385237258,高性能计算研发工程师-豆包大模型（Top Seed）,pos_01,alias,,,
gh-scaleai:4602177005,"Frontier Agent Engineering Manager, Enterprise",pos_02,alias,,,
51job:173260441,项目管理（信息技术岗-AI应用工程师）,pos_02,alias,,,
bd:7504510943058594066,大模型算法研究员（大系统＆大算力）-Data AML-筋斗云人才计划,pos_01,alias,,,
bd:7623729945864440117,高级产品经理（大模型数据管理平台）-AI数据与安全,pos_01,alias,,,
bd:7033239478266071310,算法工程师-地理位置专项,pos_01,alias,,,
tx:2086743606953160704,Agent Infra高级研发工程师,pos_02,alias,,,
bd:7468658491092945160,运筹优化算法实习生-电商业务,pos_01,llm-repair,,,
bd:7470412248348903688,多模态算法实习生-电商业务（平台治理方向）,pos_01,llm-repair,,,
bd:7472654900645955847,机器人运动控制算法实习生-ByteDance Research,pos_01,llm-repair,,,
tx:2066401747009712128,腾讯云-AI前线部署工程师-(北京/上海),pos_05,llm-repair,,,
bd:7512294778282035464,具身智能3D仿真专家-Seed,pos_37,llm,,,
bd:7628927461220796725,算法工程专家（模型推理平台-国际支付）-Global Payment,pos_01,llm-repair,,,
bd:7472359736349214994,算法实习生-抖音,pos_01,llm-repair,,,
51job:168850291,AI模型开发工程师,pos_05,llm,,,
gh-databricks:7914730002,Sr. Manager – Data & AI Support Engineering,pos_02,llm,,,
bd:7654891640385751349,AI芯片计算软件架构师/工程师-Data,pos_15,llm,,,
gh-figma:5707966004,AI Applied Scientist,pos_01,llm,,,
bd:7460352305926621447,算法实习生-AI个性化和搜索推荐,pos_01,llm-repair,,,
bd:7495686282292726023,大语言模型应用算法研究工程师-Top Seed,pos_01,llm,,,
bd:7623068849918937397,AI测试开发工程师-豆包手机助手,pos_05,llm,,,
bd:7470077462610692359,推荐算法实习生-国际电商商城,pos_01,llm-repair,,,
bd:7647081477118085429,AI异构硬件性能评估专家-Seed,pos_05,llm,,,
gh-togetherai:5199554007,"Research Engineer, Large-Scale Training",pos_13,llm,,,
gh-jobs:5180155007,AI infrastructure Engineer (SRE) Bangalore ,pos_13,llm,,,
bd:7657108619846207749,整机项目经理 - AI创新业务,pos_06,llm,,,
gh-jobs:5699248004,"Business Systems Architect, AI",pos_21,llm,,,
bd:7388142013910452530,算法实习生-质量技术,pos_01,llm,,,
bd:7657166072716429573,数据科学（AI业务） - 抖音电商,pos_35,llm,,,
xhs:7816,【Dots】多模pretrain-图片生成模型研究员,pos_04,llm,,,
anth:5197538008,"Manager of Applied AI Architecture, Enterprise Tech (Cyber)",pos_21,llm,,,
bd:7215558558842390839,多模态世界模型算法实习生-Seed,pos_01,llm-repair,,,
51job:170223859,智能嗅觉工程师,pos_38,llm,,,
bd:7499641201977723143,"Senior Software Engineer / Researcher, AI-Native database systems",pos_11,llm,,,
gh-scaleai:4665557005,"Infrastructure Software Engineer, Enterprise GenAI",pos_13,llm,,,
bd:7389546998192212275,算法实习生-飞书,pos_01,llm,,,
tx:2067065225080913920,光子 AI-可控视频生成研究员,pos_27,llm-repair,,,
vivo:M1909880225724686338,算法专家,pos_01,llm-repair,,,
bd:7468658040570644744,数据挖掘算法实习生-电商业务,pos_01,llm-repair,,,
gh-jobs:4591300005,"Software Engineer, Gen AI",pos_01,llm,,,
gh-jobs:5064263007,Backend Software Engineer — Data Platform & AI Data Products,pos_11,llm,,,
anth:5057647008,"Applied AI Engineer, Enterprise Tech",pos_03,llm,,,
gh-jobs:4187681007,"AI Researcher, Core ML",pos_01,llm,,,
bd:7652302045365651717,AI产品服务端开发工程师 - 移动OS,pos_05,llm,,,
tx:2066436754772246528,高级应用解决方案经理-信息安全,pos_36,llm-repair,,,
bd:7462250959654603026,算法实习生-广告业务,pos_01,llm-repair,,,
gh-pinterest:8015537,"Staff Machine Learning Engineer, Visual AI",pos_27,llm,,,
bd:7472656487564445970,算法实习生-TikTok内容发现,pos_01,llm-repair,,,
anth:5390750008,"Applied AI Architect, Partnerships",pos_13,llm,,,
bd:7468232445914941703,算法实习生-IT,pos_01,llm,,,
anth:5383242008,AI Fluency Education Lead,pos_34,llm,,,
anth:5390865008,"Manager of Applied AI Architecture, Commercial",pos_06,llm,,,
gh-databricks:8600818002,Senior Specialist Solutions Engineer (AI/ML),pos_05,llm,,,
gh-databricks:8407895002,Manager - Tech Solutions (Big Data / AI),pos_13,llm,,,
tx:2046110875739389952,企业微信-战略&商业化设计-AI/SaaS方向（广州）,pos_06,llm,,,
gh-databricks:8582271002,"Staff Software Engineer, AI Runtime",pos_13,llm,,,
gh-jobs:5989185004,"Product Manager, AI Growth",pos_06,llm,,,
gh-jobs:4517781005,"Software Engineer (Forward Deployed), International Public Sector",,unmatched,,,
gh-scaleai:4708587005,EMEA Assurance Lead,,unmatched,,,
bd:7460430026593585416,前端开发实习生-广告业务,,unmatched,,,
tx:1369854792351883264,41066-腾讯云-国际渠道运营经理,,unmatched,,,
gh-jobs:4612329005,Medical Fellow - Human Frontier Collective (UK),,unmatched,,,
anth:5076477008,"Research Engineer / Scientist, Frontier Red Team (Cyber)",,unmatched,,,
gh-discord:8502342002,"Engineering Manager, Revenue",,unmatched,,,
gh-togetherai:5213325007,"Staff Software Engineer, Inference / Compute Infrastructure Engineering",,unmatched,,,
gh-scaleai:4694861005,Frontier Agents Engineer (Forward Deployed Engineering),,unmatched,,,
vivo:M1943487415848472577,高性能计算工程师（视频）,,unmatched,,,
